filename,spectral_centroids,spectral_bandwidth,spectral_contrast,spectral_rolloff,spectral_flatness,bpm
"#1f1e33 (Another long ''''#ant1p01e'''' version) - - 1.''''#ant1p01e'''' version(Av976702292,P1).mp3",2862.0047319249493,2757.4348786486207,20.910095550839326,6190.895891762683,0.043202236,123.046875
"01 Hollow(Av735160974,P1).mp3",1280.4193364148887,1304.2104404183574,24.82782007334433,2282.14447989759,0.024206402,99.38401442307692
01 ｉｎ　ｆａｃｔ.wav,1696.5158922126427,2038.8066309475594,24.45085535154861,3522.4970787660927,0.019238148,83.35433467741936
"02 Deep Inside (feat.nayuta)(Av735160974,P2).mp3",2230.7517256600518,2380.167805850288,23.201430188089503,4692.401526988637,0.027037382,99.38401442307692
"03 Vagabond(Av735160974,P3).mp3",1293.3848597899482,1491.6202668907076,24.00683691316469,2588.4948407649213,0.014660733,117.45383522727273
"04 ARForest & KARUT - Wanderer of Laby(Av735160974,P4).mp3",2477.4600170861286,2392.4180294154125,20.857875244079477,5147.913578618325,0.056452792,151.99908088235293
"05 Awe(Av735160974,P5).mp3",2029.7768214004254,2072.0564114937115,22.029893960888916,4140.45414398485,0.030527933,172.265625
05.永久に.dsf,1423.9911653619724,1905.552286323721,23.27033668978915,2769.092946567694,0.0073929145,69.83741554054055
"06 ARForest & Sta - Light of Love(Av735160974,P6).mp3",1836.5753474695998,2055.609349209211,22.2071477001018,3691.024115401448,0.02903841,161.4990234375
"07 Deeper and Deeper(Av735160974,P7).mp3",1487.3893308560982,1793.5729829748457,23.529503455361738,2955.393505420545,0.013759524,99.38401442307692
"08 ARForest & Sobrem - Erlking(Av735160974,P8).mp3",1485.805277535899,1636.0219906321888,22.87909469375383,2962.963058822315,0.018196218,161.4990234375
"09 Lamentation (in Cytus II)(Av735160974,P9).mp3",1945.435486015219,2073.795870722284,20.936759420445558,4042.2465803908876,0.047083218,99.38401442307692
"1.【ゆいこんぬ】地球最后的告白(Av515192,P1).mp3",2990.5604236722284,2708.0883354767225,22.45495700662823,6176.542662663246,0.056483865,95.703125
"10 Glimmering (in EZ2ON REBOOT R)(Av735160974,P10).mp3",2018.2658282200314,2219.184695859979,22.54404626105347,4394.314693240478,0.036022577,135.99917763157896
"11 Underground(Av735160974,P11).mp3",1539.925844668169,1782.7379606308702,22.59318284109466,3203.4943957908436,0.02665717,129.19921875
"12 ARForest - 星になって (feat.Sennzai) [O(Av735160974,P12).mp3",2414.053049846069,2534.3436639102165,22.38652834850524,5162.237009748181,0.02687335,103.359375
"13 Floating(Av735160974,P13).mp3",716.8063117168824,913.9604070035319,26.141553463939484,1166.0641350994174,0.021346362,129.19921875
"14 ARForest & Sta - Light of Love (Bi(Av735160974,P14).mp3",2145.6010444511257,2336.0493409640526,21.62508992555565,4718.526834447578,0.035023194,161.4990234375
"15 Deep Inside (Instrumental)(Av735160974,P15).mp3",2061.7887552341936,2138.4089845635513,23.334042574710434,4209.935143512228,0.025798932,99.38401442307692
"16 星になって  (Instrumental)(Av735160974,P16).mp3",2048.7238259638,2187.615222516809,23.178316705257043,4342.883796805315,0.018675132,172.265625
Angel (feat. 可不)-猫乃ルル.mp3,2530.029195255864,2783.402070666433,22.972942425169396,5772.393404941792,0.026493192,161.4990234375
BetoRtallu - かたぎり(katagiri) - STRONG 280（Long ver.）.mp3,3134.150112659502,2945.134656323701,19.755478654093352,6897.952633166178,0.06560884,92.28515625
"C-Show VS DJ Genki - BLACK LABEL - 1.C-Show VS DJ Genki - BLACK LABEL(Av947212375,P1).mp3",3066.020038614875,2861.2991314969804,20.073386169331247,6575.9235924678,0.059890013,172.265625
Deathmachine - Make Some Noise.flac,3417.0605720276876,2859.428295532656,19.939555923147875,6944.549352054379,0.091774,99.38401442307692
"Dither,Igneon System - Murder ＊＊＊＊.flac",3107.89392251554,2885.11153421951,19.760112774494537,6726.301541281723,0.06910392,92.28515625
DJ Myosuke & Gram & t+pazolite - Σ.wav,2933.727557409331,2778.692710854264,19.485807101831323,6307.31115780174,0.06586403,112.34714673913044
"DJ Myosuke - Behemoth (Extended Mix)【太鼓の達人】 - 1.DJ Myosuke - Behemoth (Extended Mix)【太(Av439269572,P1).mp3",3300.085436037542,3006.0710068745816,19.200987890172232,7160.412973334273,0.090095766,95.703125
"DJ Myosuke - Virtual Euphoria【HARDCORE TANO_C】 - 1.DJ Myosuke - Virtual Euphoria【HARDCORE(Av693544487,P1).mp3",2734.318649202058,2713.295430315218,19.64761848160483,5951.696026602348,0.056227718,172.265625
DJIPE - No God.flac,2940.285589861575,2690.398676774485,19.810968821466865,6164.514418043482,0.056121033,92.28515625
"Dolphin,Tugie,Innominate - Let the Blood Spill (Dolphin Remix).flac",3367.147562265055,2835.9972685667717,20.778136646621267,6839.612252439066,0.068479404,99.38401442307692
"eDUB,Igneon System - Ruckus Power.flac",3543.7171857450235,3123.732793890934,20.455587328387608,7490.699212282699,0.06234208,89.10290948275862
Elemental Creation (kamome sano Remix) - kamome sano.wav,2334.0683831166143,2481.80434406327,22.300511766075232,5085.941981029165,0.047489036,129.19921875
"Gram VS Kobaryo - Yggdrasil - 1.Gram VS Kobaryo - Yggdrasil【The Requie(Av499586562,P1).mp3",2293.8688589222293,2508.5942546753063,21.217926671751325,5108.2819865648835,0.0295851,99.38401442307692
Hallucinator - Open Your Eyes.flac,2568.33151530475,2543.3818451173524,20.774364569548883,5460.703115895937,0.04238829,89.10290948275862
Hellfish - Doctor Beak.mp3,2612.5126969461694,2571.692066855084,19.322499564594246,5606.560527365427,0.045509815,99.38401442307692
Hellfish - The Decimator.mp3,3323.8912236459582,2918.9636575460736,19.338892828983866,6964.487560715122,0.08553028,107.666015625
Igneon System & Karbyde - TriggerFinger.mp3,2689.9279053863056,2580.2258854475244,19.564283490683653,5779.180715460527,0.04490477,172.265625
"INTERNET OVERDOSE - ちのい （cover） - 1.INTERNET OVERDOSE - ちのい （cover）(Av482098543,P1).mp3",3022.2078273583475,2967.582152383472,22.60778282103007,6792.424350491313,0.038885396,161.4990234375
"INTERNET YAMERO _ covered by 藍月なくる - 1.INTERNET YAMERO _ covered by 藍月なくる(Av569023930,P1).mp3",3502.002314508012,2876.5275000177267,21.230176053833507,6986.044799363833,0.08265413,92.28515625
I：gor - Heavyweight.flac,2597.365423074605,2604.4172485085037,20.154856004907124,5608.559085048649,0.042894244,86.1328125
Kakeru - Do you love me？ (feat. りんたる).wav,2904.241868708772,2764.524797855797,21.35985110041233,6182.257293647304,0.06302876,151.99908088235293
Kill 'Em All.wav,2827.003371880055,2674.877285296945,19.57627971642858,6085.179018780085,0.06423286,92.28515625
"Kobaryo - Glitched Character - 1.Kobaryo - Glitched Character-s4KeHXqVb(Av671656787,P1).mp3",3249.449192299519,3027.9821194044903,20.448502307504338,7132.498303449819,0.06785159,112.34714673913044
Kobaryo - SUPER REACTOR X [feat. HiTNEX-X].flac,3301.697813396067,3010.9213247520984,20.40670759706121,7147.781425958229,0.07883385,151.99908088235293
Kobaryo feat. Srezcat - Darkmoon Dissolve.flac,2491.2374148776416,2677.4243997199997,21.067402724768648,5664.47175217678,0.03456416,103.359375
Laur - Chaos Emperor.mp3,2870.8523484720918,2773.2377889506984,19.896779618982574,6173.486944719582,0.05453211,95.703125
"Laur - DANGEROOOOUS JUNGLE (Extended) - 1.Laur - DANGEROOOOUS JUNGLE (Extended)(Av605133296,P1).mp3",3342.474589769545,2902.7110480623387,19.589055389245033,6936.05091097543,0.094200745,161.4990234375
"Laur - Viyella's Nightmare - 1.Laur - Viyella’s Nightmare [2nd Album (Av808180859,P1).mp3",3218.5460515654327,2859.3181264295226,20.427874671143012,6719.730597133464,0.07519416,112.34714673913044
Let's Rock.flac,3126.522370105086,2882.5903945163727,19.79925992447641,6649.332367519162,0.0669723,103.359375
Nonexistent - Haunted.flac,2596.5124675706816,2605.5854482198984,19.84043314218201,5678.303112894206,0.046557564,161.4990234375
"OTOMEROID - ちのい （cover） - 1.OTOMEROID - ちのい （cover）(Av352049886,P1).mp3",2105.8233917861726,2479.9872017665803,22.38854663694367,4858.993734549315,0.0363017,129.19921875
"OZIGIRI - ぼっち・ざ・ぐらいんど！ BOCCHI THE GRIND! - 1.OZIGIRI - ぼっち・ざ・ぐらいんど！ BOCCHI THE GRIN(Av476954412,P1).mp3",3273.307751299167,2842.486869591446,19.429349169551227,6770.081112693247,0.09605521,117.45383522727273
Palace of Melancholia ⧸ かたぎり [Corsace Open Grand Finals Tiebreaker].flac,2873.0109523991005,2786.677989324256,19.866325409728052,6263.9229261867995,0.05117221,112.34714673913044
RAPHIIEL - Ведьма Ведьма Ведьма!.flac,2919.293976940313,2811.3402795549414,21.741625150266334,6393.8999405826435,0.05480922,89.10290948275862
"Rejection - Signal (ft. SUCH) _ Future Core 2020 - 1.Rejection - Signal (ft. SUCH) - Future(Av330120766,P1).mp3",3229.2159714772597,2791.20573859548,21.804129603532644,6567.426107296792,0.058881093,117.45383522727273
"rejection - もう一回をエンドレス feat. 中村さんそ - 1.rejection - もう一回をエンドレス feat. 中村さんそ(Av79877357,P1).mp3",3030.6537056039324,2765.528785895715,22.37258318447234,6322.23771737508,0.044076413,89.10290948275862
Rude Awakening - Crop Circle Making Dominating Whore Abuser.flac,2766.5983968896594,2844.2301835421486,18.924756692658224,6262.305516037248,0.05615828,89.10290948275862
RVOLT - Out Of Control.mp3,3483.72367937614,3020.55370269858,18.97987503376409,7294.335234375,0.09215459,99.38401442307692
Satan - Beast.flac,2901.719202592204,2821.2450972102133,19.310508618003663,6393.694698654524,0.054275237,92.28515625
"SHIKI _ Pure Ruby  [Long Version] - 1.pure_1920(Av973146424,P1).mp3",2274.2973505020263,2694.6948016761876,21.56656975704578,5395.381013293563,0.013568689,117.45383522727273
Shuhei __Imperial Circus Dead Decadence- _黄泉より聴こゆ.mp3,3277.860669630613,2891.4565216270694,21.29682614430168,6758.093669000073,0.059146687,112.34714673913044
"Silentroom vs Frums - Aegleseeker (Cansol Piano Ar - 1.Silentroom vs Frums - Aegleseeker (Can(Av973005026,P1).mp3",915.8376929629861,901.2403593895043,26.951266277427294,1584.013558268026,0.012253652,92.28515625
"Sobrem × Silentroom - Random _ BOFXVII Team [Clue] - 1.Random_youtube (1)(Av719068400,P1).mp3",2778.4656111443146,2719.574828287783,21.413435279911052,5965.092811158798,0.04209513,129.19921875
"somunia - 飴色の微熱【cc字幕】 - 1.somunia - 飴色の微熱(Av427584879,P1).mp3",2405.413305657162,2601.3297692728197,21.12549870353883,5430.003240527299,0.07146722,117.45383522727273
"SOS - 桃寝ちのい （cover） - 1.SOS - 桃寝ちのい （cover）(Av823083339,P1).mp3",2859.2438166602506,2846.8657378261432,22.406326737965948,6349.988164235994,0.049398743,135.99917763157896
STEREOTYPE - Abracadabra - (PsyCore Series No.1) (320 kbps).mp3,2747.161248491374,2551.4770217658543,21.186000061537644,5655.210604959078,0.04780292,161.4990234375
Strange Arrival - Bruford.mp3,2735.5383854671536,2715.5522162940215,20.268825296197917,5997.656920737002,0.045647543,161.4990234375
Strange Arrival - Dissolve.mp3,3041.408355017415,2840.300919184495,19.625261527524955,6563.1414595443075,0.06408492,161.4990234375
Strange Arrival - Interior Deterioration.mp3,2861.2001874040484,2739.1095146313437,19.88529494924485,6146.520584620786,0.051316593,151.99908088235293
Strange Arrival - Plastic Death.mp3,2773.092517139404,2679.530597214253,19.72764898132209,5957.098191510724,0.050826613,172.265625
Strange Arrival - Veiled Machine.flac,2407.0010486704787,2507.2882597566954,20.38454672606503,5308.498638148479,0.031327758,151.99908088235293
"t+pazolite - Cheatreal #TPZREMAKE - 1.t+pazolite - Cheatreal #TPZREMAKE-3hPf(Av247499138,P1).mp3",3100.499260539998,2768.374983606976,20.27852848663329,6425.967003891446,0.059821825,99.38401442307692
"Toby Fox - MEGALOVANIA (Camellia Remix) - 1.videoplayback_Mux(Av67778046,P1).mp3",3075.793032710814,2674.9139773018633,20.847351027758222,6279.769988808605,0.07389697,123.046875
"USAO - Big Daddy - 1.USAO - Big Daddy(Av53583384,P1).mp3",2931.040838351293,2773.963178407097,19.842120369551964,6291.922392983638,0.07258471,95.703125
"USAO-WildFire - 1.USAO-WildFire(Av507336583,P1).mp3",3344.442402179358,2936.6095895856347,19.769338642163916,6973.165567025219,0.07699389,103.359375
Wavolizer - Frustration.flac,2612.3544468578148,2599.4716296151014,20.433006135511572,5710.453567146083,0.04401631,172.265625
"[Afflict] Determination feat.棗いつき - Laur - 1.Laur - Determination feat.棗いつき(Av718955077,P1).mp3",2733.884847267672,2633.5683177073142,22.009699231148048,5692.6049410808155,0.03686163,161.4990234375
"[A]ddiction _ GigaReol×EVO+ - 1.1(Av3232086,P1).mp3",3073.7734345152203,2866.1232815490443,21.36895873018899,6562.607974166617,0.06212861,161.4990234375
"[Bassline Yatteru LOL] ベースラインやってる？笑 - Camellia (Fe - 1.繁体中文字幕(Av48101721,P1).mp3",3027.128876901307,2718.7176500575065,21.85124003259388,6269.8826834336605,0.056120247,129.19921875
"[まどそふと] 【ハミダシクリエイティブ凸 あすみED】トキラキメキ【公式・FULL】 ボーカル：ヒ - 1.【ハミダシクリエイティブ凸 あすみED】トキラキメキ【公式・FULL】 ボー(Av692661650,P1).mp3",2750.9626372141206,2684.6750414429516,22.597416154401607,5810.237180593923,0.041165736,135.99917763157896
"[碧蓝档案]兔兔小队OST113 - 1.[Blue Archive] Theme 113(Av768194583,P1).mp3",2987.5674374153223,2714.1596113128517,21.62457471808818,6226.3477446873285,0.06558377,172.265625
"▶︎少女レイ (cover) _兔子[めありー] - 1.少女レイ20180727youtubemst(Av32538951,P1).mp3",2485.678747813613,2625.558583537793,22.430481590450867,5355.039206836923,0.023979938,151.99908088235293
"「Future Funk」tomatoism - Ｓｏｍｅｏｎｅ Ｓｐｅｃｉａｌ - 1.「Future Funk」tomatoism - Ｓｏｍｅｏｎｅ Ｓｐｅｃｉ(Av378294129,P1).mp3",1885.6778280964152,2113.7243714077003,22.191580374641163,4172.90713804792,0.016415583,143.5546875
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 1.小熊（Song by Koresawa）索尔缇娜（南条爱乃）(Av300361986,P1).mp3",1770.1116276514922,2162.520285088129,23.81723992158028,3679.7740199422196,0.026064511,151.99908088235293
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 10.篝火（Song by konoco）琳恩（村上奈津实）(Av300361986,P10).mp3",2333.185589358777,2623.5690582588786,23.551233516871765,5200.376037753226,0.018972982,103.359375
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 2.Ⅶ. THE RUST（Song by 茅原实里）A.A.（茅原实里）(Av300361986,P2).mp3",2053.059305526488,2414.9264849859987,24.21505630944481,4292.811239451966,0.014286792,103.359375
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 3.X. THE FLOWER （Song by 小仓唯）娜塔夏（小仓唯）(Av300361986,P3).mp3",2265.6686412678873,2484.982282471951,23.555720520456155,4872.156839100456,0.030369446,161.4990234375
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 33.红洋装（Song by 叶月由罗）艾薇（古贺葵）(Av300361986,P33).mp3",2770.1487105997567,2661.871287408836,23.047527450431705,5852.254256202665,0.038682435,123.046875
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 39.Dokie Doggy Night（Song by alfakyun） 墨(Av300361986,P39).mp3",2686.0503534714057,2464.832315388905,23.45860227342471,5306.299137163765,0.04009832,123.046875
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 41.热情的埃达（Song by Mewhan）索尼娅（五十岚裕美）(Av300361986,P41).mp3",2473.337333972845,2688.7400282722024,22.486325325312936,5536.595667718776,0.02507268,129.19921875
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 7.今天的我不一定是昨天的我（Song by 黑云）卡罗（立花日菜）(Av300361986,P7).mp3",1923.3673657554943,2167.4883035860485,25.248058481385083,3855.207623880566,0.012070942,172.265625
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 8.困惑星旅行（Song by 芹泽优）妮娜（芹泽优）(Av300361986,P8).mp3",2020.844146235256,2410.8192810879605,24.144075211068113,4626.003502360105,0.013724796,143.5546875
"「不埒な喝采」  covered by 跳亜【cc字幕】 - 1.【歌ってみた】「不埒な喝采」  covered by 跳亜(Av810542096,P1).mp3",2334.9420938703242,2520.8249434351387,23.60264246286046,5292.902472325627,0.10280817,161.4990234375
"「吉他与孤独与蓝色星球」第五集live部分插曲—結束バンド【孤独摇滚】 - 1.ギターと孤独と蒼い惑星(Av562317092,P1).mp3",2257.6593503828185,2265.5626165525714,22.41718274349742,4524.165424350437,0.01715819,95.703125
"「有什么不好」—結束バンド【孤独摇滚】 - 1.【中日歌词_完整版】孤独摇滚ED3「有什么不好」—結束バンド【孤独摇滚】(Av475500353,P1).mp3",2249.4073427958406,2217.1272828458277,23.281016479206517,4566.343405840956,0.021373857,123.046875
"「绝不会忘记」结束乐队／ TVアニメ「孤独摇滚」第12話劇中曲 - 1.【中日歌词_官方MV】「绝不会忘记」结束乐队／ TVアニメ「孤独摇滚」第12(Av521724987,P1).mp3",2602.347047190429,2530.683723921173,21.76959296398496,5257.803227026123,0.030077573,92.28515625
"「若能化作星座」结束乐队／ tvアニメ「孤独摇滚」第12話劇中曲 - 1.【中日歌词_官方MV】「若能化作星座」结束乐队／ tvアニメ「孤独摇滚」第1(Av221640134,P1).mp3",2723.043813115581,2696.765138026216,22.083343514503817,5705.704064173598,0.033469934,123.046875
"『MAD 中日歌詞』 劇場版 遊戲人生 Zero 主題曲： THERE IS A REASON -  - 1.1(Av16040894,P1).mp3",2052.2992680939838,2267.8930561268194,24.34697659878696,4252.649297328964,0.014507329,135.99917763157896
"『中日歌詞付き』 譚雅戦記ED1 FULL - Los! Los! Los! - 悠木碧 - 1.『Lyrics Video - 中日歌詞付き』 幼女戦記 Youjo Sen(Av9081138,P1).mp3",2290.8773267547995,2267.301299932611,21.387004957291385,4591.369812696043,0.038585767,117.45383522727273
"『音击』ONGEKI Sound Collection 06「Transcend Lights」／赤 - 1.01.Transcend Lights(Av379997392,P1).mp3",2975.9206200180834,2818.225422483823,22.23857880649295,6425.149133041957,0.057152104,103.359375
"【Arcaea】C-Show - GIMME DA BLOOD - 1.【Arcaea】C-Show - GIMME DA BLOOD(Av972121198,P1).mp3",3015.200725224776,2864.9882646874185,19.73954709681735,6572.126902762253,0.071979165,112.34714673913044
"【BGA】 彁 - LeaF - 1.彁(Av247469165,P1).mp3",2425.2753547207462,2605.7297631183787,22.99041256095609,5364.96352521377,0.03773464,107.666015625
"【BOFU2016】Alice in Misanthrope - LeaF - 1.【BOFU2016】 Alice in Misanthrope -厭世アリス(Av7761098,P1).mp3",2716.288765033778,2751.433753972773,21.532433423416215,6062.407674889242,0.038912717,172.265625
"【BOFU2017】 Lyrith -迷宮Lilith- 【FRENZ2017】 - 1.1(Av15249569,P1).mp3",2604.7051114361907,2573.069170635635,22.137292430931556,5620.297437368424,0.052231956,89.10290948275862
【BOFXVII】 Lidelle x Sobrem x Sennzai - self-dissociation【BGA】.flac,2550.521765419807,2646.2273042793877,21.39058316693718,5618.670615511728,0.03586738,95.703125
【BOFXVII】saaa ft. MC iwata Bros. - Head BONK ache【BGA】.wav,2845.941764666393,2846.3220909805846,19.80137893804917,6363.202875530143,0.04699089,161.4990234375
【BOFXVI】Angel's Salad【BGA】.flac,2404.353668369442,2562.8266852213455,19.228822775693956,5307.371368288714,0.05173945,117.45383522727273
"【BOF_ET】Sobrem - slic.hertz - 1.video_20221003_083035_edit(Av516191809,P1).mp3",2724.7710447397517,2673.2710117110787,20.86753820086959,5820.2688539127785,0.043415163,143.5546875
"【BSWC 2022 Grand Finals Tiebreaker】Kry.exe feat. I - 1.【BSWC 2022 Grand Finals Tiebreaker】Kry(Av514682052,P1).mp3",3275.2374065985964,2875.3776998876797,20.684444832142248,6810.747249014247,0.06782819,117.45383522727273
"【cc字幕】透明な呼吸  somunia × ヰ世界情緒 - 1.透明な呼吸  somunia × ヰ世界情緒(Av287181202,P1).mp3",2236.0226950811557,2641.4740739929903,22.793862758688654,5068.916015625,0.029637463,161.4990234375
"【flower】猛毒【かいりきベア】 - 1.ベノム _ flower - niconico動畫(Av28356844,P1).mp3",2395.3828338042063,2275.4568619646184,22.239739263449522,4629.798614533339,0.045012355,151.99908088235293
"【FRENZ2013】 B.B.K.K.B.K.K. 【BOF2013】 - 1.1(Av770385,P1).mp3",3443.6833799952365,2862.078324004428,21.259161768308836,6922.8646126859785,0.0799121,172.265625
"【Full MV】逆行して逃避行 - BlackY feat. Risa Yuzuki - 1.【Full MV】逆行して逃避行 _ Risa Yuzuki(Av501639085,P1).mp3",2773.3234260620584,2525.6234270719574,23.332040959436195,5531.73308611284,0.03486571,135.99917763157896
"【Giga & KIRA】GETCHA!【本家演唱 ver.】 - 1.Giga & KIRA - GETCHA! (Self Cover ver.(Av754722305,P1).mp3",2727.3103662002122,2678.5072449436543,21.593050686390637,5846.145091989703,0.029394744,129.19921875
"【Giga · q_Left】G4L (完整版)【YouTube Music ver.】 - 1.G4L(Av673284810,P1).mp3",2731.0124190966058,2569.003466648935,21.817953330059762,5795.5371509094275,0.03358735,143.5546875
"【Giga】CH4NGE【本家演唱／中文CC字幕】 - 1.Giga - CH4NGEをうたいました (Self Cover) [MCY(Av295162306,P1).mp3",2997.6015576419118,2766.6072970825007,21.714763648092564,6343.368053878477,0.044160124,117.45383522727273
"【Mili】Ga1ahad and Scientific Witchery （加拉哈德1号与科学性巫 - 1.1(Av3838286,P1).mp3",1783.0003786474742,2307.061973492108,23.52963837683395,4002.2599692565955,0.0069370773,83.35433467741936
"【Mili】Vitamins--  Mili feat World s end girlfriend - 1.Vitamins--Mili feat World s end girlfr(Av38560371,P1).mp3",2227.020169957376,2409.0315088105904,23.35159599568555,4717.504136696083,0.022008872,95.703125
"【MV】Löschen (Long ver.) - BlackY feat. Risa Yuzuki - 1.[Risa Yuzuki] Loschen_FIX(Av722907250,P1).mp3",2936.834856907937,2697.2556930244887,22.56417686413427,6052.758347844503,0.042366043,123.046875
"【Official Audio】Duplicity Shade _ HyuN feat. Sennz - 1.tst(Av642129802,P1).mp3",2809.1409707013163,2587.95457375117,21.62714696855363,5687.25363966748,0.049269322,112.34714673913044
"【OWC2021 Grand Finals Tiebreaker】Yooh - RPG - 1.[osu!] Yooh - RPG (OWC2021 Grand Final(Av634326949,P1).mp3",3286.272927509233,2955.306106786818,20.264877757070447,6980.257770377146,0.0742038,107.666015625
"【PV】twinkle night 【somunia solo ver】 - 1.twinkle night [somunia solo ver_PV](72(Av795945802,P1).mp3",2691.4671392877035,2908.7922407798346,21.45987881075468,6278.286537121815,0.03715181,86.1328125
"【somunia熟肉】[ cover ] nekomeshi - やくしまるえつこ _ somuni - 1.[ cover ] nekomeshi - やくしまるえつこ _ somun(Av64059468,P1).mp3",2641.637322518058,2697.085457163064,22.80666340315129,5701.422756153857,0.025481248,117.45383522727273
